  0	 15
  1	  6
  2	 16
  3	 14
  4	  6
  5	  2
  6	 15
  7	 12
  8	  2
  9	  1
 10	  4
 11	  1
 12	 17
 13	  2
 14	  0
 15	  7
 16	 13
 17	  2
 18	 10
 19	  1
 20	  6
 21	  9
 22	  2
 23	  5
 24	  9
 25	 14
 26	  6
 27	 17
 28	 17
 29	 18
 30	  1
 31	  3
 32	  9
 33	  5
 34	  9
 35	 15
 36	 17
 37	 16
 38	  1
 39	  1
 40	  4
 41	 17
 42	  2
 43	 12
 44	  2
 45	 10
 46	  5
 47	 17
 48	 14
 49	 12
 50	  4
 51	 12
 52	 15
 53	  8
 54	  4
 55	  6
 56	  5
 57	  7
 58	 17
 59	 12
 60	 18
 61	  6
 62	 12
 63	  2
 64	  4
 65	  9
 66	  5
 67	  6
 68	  5
 69	 12
 70	 14
 71	  8
 72	 11
 73	  6
 74	  6
 75	 12
 76	 17
 77	  6
 78	  5
 79	  5
 80	  0
 81	  6
 82	 17
 83	  6
 84	 17
 85	  4
 86	 18
 87	 15
 88	  5
 89	 17
 90	  4
 91	 17
 92	 16
 93	 17
 94	  5
 95	  1
 96	 10
 97	  5
 98	  6
 99	 18
100	  2
101	 15
102	 12
103	 12
104	  1
105	  2
106	 17
107	 12
108	 15
109	 17
110	 12
111	  2
112	 16
113	  5
114	  9
115	 13
116	  5
117	  1
118	  5
119	  1
120	 12
121	  1
122	  5
123	  5
124	  2
125	 17
126	  5
127	 12
128	  1
129	 12
130	 12
131	  1
132	 17
133	  6
134	  8
135	 17
136	 17
137	 15
138	  6
139	  2
140	  3
141	  6
142	  1
143	 12
144	 17
145	  4
146	 18
147	  4
148	  8
149	 15
150	  1
151	 12
152	  6
153	  8
154	  6
155	  1
156	  0
157	  5
158	 12
159	  4
160	 12
161	  6
162	  4
163	  9
164	  6
165	 17
166	  2
167	 11
168	 12
169	  2
170	  4
171	  2
172	 12
173	  2
174	  4
175	  9
176	  6
177	  2
178	 15
179	 13
180	 10
181	 17
182	  5
183	 15
184	  8
185	 12
186	  5
187	  6
188	  2
189	  5
190	  5
191	  1
192	 17
193	  5
194	  2
195	  2
196	 14
197	 10
198	  9
199	 14
200	 17
201	  9
202	  1
203	  5
204	  8
205	  8
206	 18
207	 14
208	  9
209	  1
210	  6
211	  6
212	  6
213	  2
214	 12
215	 17
216	  8
217	  6
218	  0
219	  2
220	  2
221	  6
222	 16
223	 17
224	  6
225	  2
226	 15
227	  3
228	 18
229	  1
230	 12
231	  0
232	  1
233	  2
234	  9
235	 12
236	  4
237	  6
238	 13
239	  0
240	  1
241	 18
242	  0
243	  5
244	  6
245	  6
246	  1
247	 18
248	  5
249	  6
250	 18
251	  4
252	 18
253	  4
254	 18
255	 17
256	  1
257	  4
258	  0
259	  5
260	  5
261	  2
262	 17
263	  2
264	  2
265	 14
266	 11
267	  5
268	 17
269	  4
270	 12
271	 12
272	  4
273	  4
274	  4
275	  5
276	  2
277	 11
278	  4
279	 10
280	  2
281	  5
282	  2
283	 17
284	  4
285	 18
286	  0
287	  4
288	 11
289	  0
290	  4
291	  5
292	  3
293	 15
294	 12
295	  9
296	 12
297	  8
298	  9
299	 12
300	  2
301	  6
302	  6
303	 17
304	  4
305	 12
306	  2
307	 17
308	  5
309	  2
310	 15
311	 10
312	  5
313	  4
314	  5
315	  0
316	 17
317	 18
318	  2
319	 17
320	 14
321	  9
322	 15
323	  4
324	 17
325	  6
326	  6
327	  4
328	  9
329	 12
330	  4
331	  6
332	 17
333	  4
334	  6
335	  9
336	  4
337	 12
338	  2
339	  6
340	  5
341	  4
342	 14
343	  0
344	  8
345	 14
346	 18
347	  4
348	 12
349	  4
350	  6
351	 10
352	 13
353	  2
354	 18
355	  6
356	  1
357	  2
358	  4
359	  1
360	 12
361	 18
362	  8
363	  9
364	  4
365	  2
366	  5
367	 17
368	 10
369	 17
370	 15
371	  5
372	  6
373	  9
374	 10
375	  2
376	  6
377	 17
378	  6
379	 18
380	  2
381	  4
382	  4
383	  5
384	 12
385	 12
386	  5
387	  5
388	  4
389	  6
390	  2
391	  1
392	  3
393	  6
394	  6
395	 18
396	 17
397	 15
398	 11
399	  4
400	 14
401	  6
402	 17
403	  6
404	  5
405	  2
406	 18
407	  5
408	  6
409	  6
410	 14
411	  1
412	 11
413	 17
414	  2
415	  2
416	  9
417	 12
418	  0
419	  4
420	  2
421	 12
422	  2
423	 15
424	  4
425	  6
426	  1
427	  4
428	  6
429	 18
430	 18
431	  5
432	 12
433	 18
434	  5
435	  4
436	  3
437	 17
438	  5
439	  9
440	 12
441	 15
442	 15
443	  2
444	 18
445	  1
446	  5
